AREANM,AREACD,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Growth_1997_2016_Pct,Growth_1997_2016_Abs,Growth_2007_2016_Pct,Avg_Annual_Growth,Growth_Category
Cornwall and Isles of Scilly,UKK30,9957,10249,10306,10910,11531,11995,12161,12576,13012,13654,14139,14552,14800,15069,15448,15903,16132,16393,17012,17026,70.9952797027217,7069,20.418700049508452,2.863742727942098,Slow
Plymouth,UKK41,9258,9632,9827,10437,10702,10894,11207,11540,11715,12160,12639,13076,13427,13916,14104,14336,14665,14947,15407,15147,63.60985093972781,5889,19.843342036553523,2.624990256190385,Slow
Torbay,UKK42,10051,10176,10502,11346,11393,11575,11914,12313,13014,13556,13787,14496,14752,14928,15190,15636,16095,16511,16937,17069,69.82389811959008,7018,23.805033727424384,2.826534735732533,Slow
Devon CC,UKK43,11216,11441,11701,12044,12562,12988,13169,13660,14264,15028,15513,16247,16666,16520,16694,17292,17804,18081,19028,19088,70.18544935805991,7872,23.045187906916777,2.8380449938151475,Slow
Isle of Anglesey,UKL11,9644,10059,10199,10754,10932,11208,11746,12419,12576,12662,13182,13996,14274,14445,14808,15346,15696,15840,16395,16468,70.75902115304854,6824,24.927932028523745,2.8562576465120504,Slow
Gwynedd,UKL12,8964,9081,9505,9938,10504,10984,11221,11871,12273,12895,13045,13179,13380,13406,13580,13988,14217,14555,15123,15188,69.43328871039715,6224,16.427750095822155,2.8140732703972438,Slow
Conwy and Denbighshire,UKL13,10441,10555,10722,11294,11698,12156,12516,12961,13568,13718,13957,14621,14516,14668,15152,15704,15823,16056,16434,16432,57.37956134469878,5991,17.733037185641614,2.415502831136407,Slow
South West Wales,UKL14,9186,9364,9542,9709,10145,10643,11123,11507,12157,12862,13041,13663,13773,13953,14336,14932,15079,15333,15805,15919,73.29632048769868,6733,22.068859750019172,2.936135607282475,Slow
Central Valleys,UKL15,8120,8128,8449,9244,9910,10355,10590,11102,11455,11715,12130,12484,12507,12698,12862,13346,13578,13736,14226,14525,78.87931034482759,6405,19.744435284418795,3.108065193034415,Slow
Gwent Valleys,UKL16,8854,8986,9424,10304,10535,10712,11194,11530,11594,11653,12106,12423,12357,12520,12786,13377,13627,13680,14261,14394,62.57058956403885,5540,18.89971914753015,2.5905770577197673,Slow
Bridgend and Neath Port Talbot,UKL17,9772,10005,10156,11056,11365,11287,11669,12044,12236,12575,13046,13482,13487,13553,13599,14189,14550,14762,15167,15337,56.94842406876791,5565,17.56093821861107,2.400717074917047,Slow
Swansea,UKL18,9501,9728,10104,10570,11271,11611,11847,12175,12157,12546,12730,13775,13899,13527,13572,14121,14169,14808,15067,14911,56.9413745921482,5410,17.13275726630008,2.400474995116797,Slow
Monmouthshire and Newport,UKL21,9919,9990,10657,11738,12167,12719,12930,13095,13497,13984,14759,15252,14843,15011,15421,16039,16003,16602,17216,17316,74.5740498034076,7397,17.325022020462093,2.975941886655309,Slow
Cardiff and Vale of Glamorgan,UKL22,10004,10372,10822,11512,11887,12343,12806,13135,13248,13845,14107,14669,14748,14895,15123,15450,15531,15818,16388,16515,65.08396641343462,6511,17.0695399447083,2.673449308976461,Slow
Flintshire and Wrexham,UKL23,9772,9916,10266,11315,11566,11860,12311,12811,13026,13332,13616,14089,14037,14291,14813,15304,15664,16094,16830,17119,75.18419975440032,7347,25.727085781433605,2.9948531741852857,Slow
Powys,UKL24,9348,9309,9867,10761,11101,11386,11902,12775,13242,13724,13942,14581,14559,15030,15241,15791,15952,16065,16447,16303,74.40094137783483,6955,16.934442691149044,2.970565075710563,Slow
Aberdeen City and Aberdeenshire,UKM50,11103,11479,11301,12173,12822,13304,13521,14414,15409,16181,17176,18023,18464,18715,19565,20391,21466,21777,22080,21534,93.9475817346663,10431,25.372612948299956,3.5478968887289852,Moderate
Caithness & Sutherland and Ross & Cromarty,UKM61,9826,10165,10358,10880,11437,12054,12177,12508,13034,13873,14074,14744,15363,15554,16086,17051,17730,17434,18109,18743,90.74903317728476,8917,33.17464828762257,3.457308563796113,Moderate
"Inverness & Nairn and Moray, Badenoch & Strathspey",UKM62,8970,9248,9470,9902,10364,10691,10824,11142,11318,12514,13373,15662,15737,15989,15645,16443,16956,17265,17902,18386,104.97212931995541,9416,37.485979211844764,3.849638750337392,Fast
"Lochaber, Skye & Lochalsh, Arran & Cumbrae and Argyll & Bute",UKM63,8338,8592,8496,9498,10165,10883,11163,11683,12323,13254,13851,14901,15453,15625,15639,16219,16377,16461,17181,17515,110.0623650755577,9177,26.452963684932495,3.983803137002817,Fast
Na h-Eileanan Siar (Western Isles),UKM64,8721,9095,9001,9478,10131,10693,10973,11337,11901,11572,12712,13279,13789,14164,14373,14566,14787,15237,16525,16479,88.95768833849328,7758,29.633417243549403,3.405943968249936,Moderate
Orkney Islands,UKM65,8116,8834,9362,9065,9653,9977,10099,11200,11493,12544,13930,14845,15767,16243,17068,17688,17934,17798,17881,18381,126.47856086742237,10265,31.95262024407753,4.396427387078772,Very Fast
Shetland Islands,UKM66,9475,9378,9610,10868,10790,10851,11288,12165,12611,13494,13911,15260,16806,16819,16739,17423,18093,19131,20135,20124,112.3905013192612,10649,44.66249730429156,4.044142760371328,Fast
Angus and Dundee City,UKM71,9382,9707,9964,10773,11412,11955,12062,12449,12488,12955,13735,14625,14644,14440,14761,15186,15858,16178,16684,16939,80.54785759965893,7557,23.327266108481982,3.1584623314232285,Moderate
Clackmannanshire and Fife,UKM72,9090,9604,9851,10515,10923,11472,11809,12309,12558,12638,13601,14254,14566,14712,14906,15436,16018,16220,16956,17264,89.92299229922992,8174,26.931843246820087,3.4336798963441773,Moderate
East Lothian and Midlothian,UKM73,10113,10529,10962,11543,11794,12137,13123,14060,14671,15188,15812,16432,16660,17220,17566,17981,18857,19235,19931,20139,99.13972115099378,10026,27.365292183152036,3.691976402871222,Moderate
"Edinburgh, City of",UKM75,12195,12795,13323,14203,14904,15532,15904,16393,16907,17809,18172,18568,18710,18671,19292,20133,20329,20478,21385,21837,79.06519065190652,9642,20.168390931102795,3.1137015517816558,Slow
Falkirk,UKM76,8798,9134,9680,10143,10771,11208,11670,12108,12492,13166,13888,14458,14310,14127,14649,15383,15690,15686,16298,16516,87.72448283700841,7718,18.922811059907836,3.37031452733485,Moderate
Perth & Kinross and Stirling,UKM77,11359,11736,11663,12396,13147,13133,13695,14971,15307,16351,16891,17082,17129,17094,17998,18476,18884,18964,19539,19747,73.8445285676556,8388,16.90841276419395,2.953248381650053,Slow
West Lothian,UKM78,8475,8960,9519,10568,11178,11745,12209,12462,12585,13264,14488,14469,14286,14532,14749,15264,15715,16127,16629,16390,93.39233038348083,7915,13.128106018774158,3.5322732357851327,Moderate
"East Dunbartonshire, West Dunbartonshire and Helensburgh & Lomond",UKM81,9459,9888,10927,11877,12242,12747,12975,13349,13933,14598,15133,15906,16200,16457,16731,17365,17558,17668,18418,18824,99.0062374458188,9365,24.390405075001652,3.6883170874880467,Moderate
Glasgow City,UKM82,9036,9349,9753,10492,10941,11423,11819,12068,12226,12778,13515,13776,14033,13886,13976,14429,14597,14913,15194,15311,69.44444444444444,6275,13.288938216796154,2.814429544972863,Slow
"Inverclyde, East Renfrewshire and Renfrewshire",UKM83,10470,10838,11193,12067,12758,12938,13178,13499,13977,14563,15123,15842,16074,16012,16094,16647,17255,17480,18501,18816,79.71346704871061,8346,24.41975798452688,3.1333156414153462,Slow
North Lanarkshire,UKM84,8793,9143,9397,10093,10561,10955,11213,11541,11951,12140,12915,13484,13620,13691,13899,14323,14730,15309,15838,16171,83.90765381553508,7378,25.210994967092525,3.2586173491294,Moderate
Scottish Borders,UKM91,9689,10217,10321,11109,11506,11967,12860,13607,14123,14746,15308,15931,16197,16487,16808,16847,17549,18290,18705,18923,95.30395293631953,9234,23.615103214005746,3.585884966055386,Moderate
Dumfries & Galloway,UKM92,9435,9759,9877,10403,10691,11169,11561,12171,12307,12982,13736,14503,15016,15109,15317,15885,16256,16513,17182,17759,88.22469528351881,8324,29.28800232964473,3.3847931835407685,Moderate
East Ayrshire and North Ayrshire mainland,UKM93,8464,8689,8753,9522,10190,10759,11056,11656,11982,12381,13121,13349,13606,14077,14207,14544,15199,15403,15905,16443,94.26984877126654,7979,25.318192210959527,3.5569454098922204,Moderate
South Ayrshire,UKM94,9659,9968,10298,10886,11572,12055,12738,13411,13701,14469,14781,15472,15795,16168,16570,17225,17645,17804,18189,18631,92.88746247023502,8972,26.0469521683242,3.5180303399694246,Moderate
South Lanarkshire,UKM95,9748,10211,10497,11185,11436,12207,12272,12895,13489,13781,14486,14961,15112,15429,15738,16226,16466,16554,17247,17311,77.58514567090685,7563,19.501587739886787,3.0686683641655277,Slow
Belfast,UKN06,9957,10196,10403,11019,11326,11760,11846,12128,12335,12851,12948,13577,13911,13794,14018,14347,14779,14895,15304,15565,56.32218539720799,5608,20.211615693543404,2.379171677495928,Slow
"Armagh City, Banbridge and Craigavon",UKN07,8685,8831,9072,9413,9755,10295,10786,11536,12109,12858,13218,13390,13369,13447,13794,13866,14493,15187,15522,15582,79.41278065630397,6897,17.884702678166136,3.1242264978120993,Slow
"Newry, Mourne and Down",UKN08,8535,8696,8923,9432,9655,10153,10751,11408,12203,12872,13001,13183,13188,13113,13637,13808,14214,14537,14812,14721,72.4780316344464,6186,13.229751557572495,2.910496385909611,Slow
Ards and North Down,UKN09,9608,9748,9987,10664,10999,11614,11995,12464,13002,13598,14021,14445,14597,14578,15005,15415,16008,16170,16914,17035,77.30016652789342,7427,21.49632693816418,3.0599565250024607,Slow
Derry City and Strabane,UKN10,7132,7196,7470,7868,8320,9042,9674,10390,11258,11775,11862,11916,12119,12262,12713,13030,13380,13718,13924,14036,96.80314077397645,6904,18.32743213623335,3.627583217140984,Moderate
Mid Ulster,UKN11,7833,7941,8242,8731,8947,9345,10159,11041,11719,12279,12395,12344,12281,12263,12763,12916,13325,13950,14660,14647,86.99093578450146,6814,18.1686163775716,3.3490157607365845,Moderate
Causeway Coast and Glens,UKN12,7144,7193,7461,7950,8522,9254,9781,10393,11298,11849,11872,11790,12154,12343,13002,13225,13606,14043,14913,15132,111.81410974244122,7988,27.459568733153638,4.029262672998479,Fast
Antrim and Newtownabbey,UKN13,9390,9521,9787,10615,10862,11438,11851,12405,12829,13340,13866,14237,14335,14214,14683,15156,15647,16074,16592,16849,79.43556975505858,7459,21.513053512188087,3.1249158715698444,Slow
Lisburn and Castlereagh,UKN14,9443,9566,9873,10826,11153,11715,12194,12707,13221,13658,14191,14528,14641,14573,14855,15471,16103,16448,17421,17684,87.27099438737689,8241,24.61419209358044,3.357156675169759,Moderate
Mid and East Antrim,UKN15,9331,9494,9709,10469,10545,11127,11617,12215,12703,13348,13768,14132,14271,14197,14584,15048,15543,16146,17005,17315,85.56424820490837,7984,25.762638001162113,3.307363785424644,Moderate
Fermanagh and Omagh,UKN16,7772,7878,8194,8552,8880,9281,10130,11017,11788,12396,12477,12502,12497,12463,12916,13158,13329,13607,14522,14722,89.42357179619145,6950,17.993107317464137,3.419346842175064,Moderate
