AREANM,AREACD,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Growth_1997_2016_Pct,Growth_1997_2016_Abs,Growth_2007_2016_Pct,Avg_Annual_Growth,Growth_Category
Greater Manchester South East,UKD35,9898,10151,10791,11467,11702,12027,12394,12557,12983,13465,13950,14181,14785,14924,15186,15789,16209,16647,17463,17561,77.41968074358456,7663,25.88530465949821,3.0636116997478924,Slow
Greater Manchester North West,UKD36,9951,10185,10651,11254,11614,11837,12072,12450,12707,13140,13589,13697,14005,14057,14152,14757,15060,15174,15450,15351,54.26590292432921,5400,12.966369857973362,2.307846804813174,Slow
Greater Manchester North East,UKD37,9090,9343,9834,10404,10774,11026,11160,11568,11845,12272,12715,12877,13245,13280,13413,14075,14492,14826,15435,15284,68.14081408140814,6194,20.204482894219424,2.772645031295351,Slow
Blackburn with Darwen,UKD41,8474,8626,9048,9166,9432,9395,9729,9966,10469,10776,10951,10916,11132,11453,11422,11630,11722,12074,12497,12450,46.91999055935804,3976,13.688247648616564,2.0454702010403114,Slow
Blackpool,UKD42,9597,9838,9908,10766,10913,11044,10828,10974,11139,11373,11882,12176,12675,12845,13281,13446,13681,13986,14404,14795,54.162759195581955,5198,24.516074734893113,2.304245450846998,Slow
Lancaster and Wyre,UKD44,9241,9555,9839,10539,10982,11389,11724,12105,12492,12904,13403,13773,14522,14491,14686,15073,15499,15778,16212,16355,76.98301049669949,7114,22.024919794075952,3.0502454245263433,Slow
Mid Lancashire,UKD45,10815,11115,11381,12136,12682,12946,13310,13718,14158,14589,15083,15416,16054,15973,16139,16570,16805,17195,18083,17843,64.98381877022655,7028,18.298746933633893,2.6701701292559443,Slow
East Lancashire,UKD46,8318,8560,8846,9386,9768,9970,10286,10714,11244,11603,12200,12681,13154,13163,13390,13698,14063,14152,14864,14808,78.02356335657609,6490,21.37704918032787,3.0820450071805006,Slow
Chorley and West Lancashire,UKD47,10408,10599,10990,11789,12246,12593,12964,13390,13873,14290,14828,15236,15860,15781,16188,16669,16863,17249,18456,18660,79.28516525749424,8252,25.842999730240084,3.1203645786637813,Slow
Warrington,UKD61,10432,10814,11215,12218,12792,13043,13371,14094,14328,14831,15535,15599,15843,15905,16226,17162,17269,17760,19071,19377,85.74578220858896,8945,24.73125201158674,3.3126804613445637,Moderate
Cheshire East,UKD62,12171,12540,13093,13664,13904,14822,15552,15996,16505,17033,17534,17863,18435,18315,18518,19267,20306,20899,22065,22025,80.96294470462576,9854,25.613094559142237,3.1709311599879886,Moderate
Cheshire West and Chester,UKD63,11089,11380,11954,12479,12749,13528,14315,14946,15404,15808,16359,16852,17455,17352,17384,18273,18730,19064,19858,19372,74.69564433222112,8283,18.417996210037288,2.9797156379339773,Slow
East Merseyside,UKD71,8232,8499,8915,9658,10151,10431,10756,11178,11615,11977,12616,12923,13440,13499,13657,14144,14432,14605,15247,15334,86.27308066083576,7102,21.54407102092581,3.328095841861578,Moderate
Liverpool,UKD72,8445,8621,9098,9597,10092,10328,10637,10966,11129,11661,12025,12046,12627,12725,12879,13348,13723,14049,14566,14538,72.14920071047958,6093,20.8981288981289,2.900160744095115,Slow
Sefton,UKD73,11403,11796,12055,12103,11914,12419,12786,13148,13691,13958,14364,14697,15588,15670,15760,16480,17014,16958,17762,17672,54.97676050162238,6269,23.02979671400724,2.332605162913115,Slow
Wirral,UKD74,10261,10677,11124,11861,12268,12825,13237,13410,13537,13781,14488,14866,15495,15542,15595,16239,16684,16948,17499,17362,69.20378130786473,7101,19.837106570955275,2.8067386822027585,Slow
"Kingston upon Hull, City of",UKE11,7411,7791,8237,9031,9548,9833,9837,9965,10164,10239,10584,10896,11426,11451,11786,12155,12264,12605,13103,13380,80.54243691809472,5969,26.417233560090704,3.158299319642488,Moderate
East Riding of Yorkshire,UKE12,10802,11065,11873,12220,12202,12707,13181,13774,14299,14918,15270,15456,15889,15962,16317,16707,16901,17167,18215,18427,70.58877985558229,7625,20.674525212835626,2.8508580219924085,Slow
North and North East Lincolnshire,UKE13,9293,9711,9908,10294,10706,10988,11403,11742,11941,12348,13042,13072,13206,13206,13731,14144,14230,14421,14958,14994,61.3472506187453,5701,14.967029596687626,2.5498004078309044,Slow
York,UKE21,10532,11347,12061,12499,13033,13614,13547,13181,13442,14133,14898,14995,15567,15527,15685,16462,16760,17307,17909,18070,71.57235093049754,7538,21.291448516579408,2.881984235626245,Slow
North Yorkshire CC,UKE22,11701,12492,12614,12820,13244,13844,14232,14710,15516,16437,16889,17242,17936,17657,18047,18792,19150,19238,20403,20611,76.14733783437313,8910,22.03801290780982,3.0245785316890927,Slow
"Barnsley, Doncaster and Rotherham",UKE31,8747,9106,9562,10206,10582,10825,11186,11427,11753,12116,12597,12693,12996,13150,13525,14079,14471,14875,15388,15540,77.66091231279296,6793,23.36270540604906,3.0709823287776494,Slow
Sheffield,UKE32,9331,9629,10031,10546,11144,11458,11666,12213,12208,12393,12649,12980,13445,13233,13280,13697,13911,14362,14854,15057,61.36534133533383,5726,19.037078029883787,2.550405542945011,Slow
Bradford,UKE41,9314,9562,9975,10652,10609,10832,10957,11362,11412,11663,12069,12240,12483,12345,12465,12892,13331,13666,14302,14444,55.07837663732016,5130,19.678515204242274,2.3361355447167664,Slow
Leeds,UKE42,10178,10513,10879,11730,12080,12366,12631,12770,12986,13391,14023,14290,14545,14575,14907,15278,15693,15923,16647,16814,65.19944979367263,6636,19.903016472937317,2.6772282949184323,Slow
Calderdale and Kirklees,UKE44,9519,9905,10251,10894,11178,11410,11818,12231,12505,12846,13377,13461,13715,13710,13924,14490,14905,15181,15934,16092,69.05137094232587,6573,20.296030500112135,2.801862748504047,Slow
Wakefield,UKE45,9311,9719,10039,10694,11028,11414,11852,12287,12645,13015,13646,13688,13936,14073,14022,14505,14876,15107,15830,15955,71.35646010095586,6644,16.920709365381796,2.87516663408256,Slow
Derby,UKF11,9300,9539,9898,9963,10483,10914,11128,11527,11440,12156,12437,12369,13073,12585,12581,13390,13792,14331,14934,15078,62.12903225806452,5778,21.235024523598938,2.57589258544324,Slow
East Derbyshire,UKF12,8612,9049,9584,10015,10819,11128,11316,11644,11986,12546,13187,13170,13364,13269,13557,14131,14401,14649,15561,15490,79.86530422666047,6878,17.464169257602183,3.1378999002640517,Slow
South and West Derbyshire,UKF13,9685,10068,10520,11080,11542,11958,12803,13379,13838,14312,14979,15274,15439,15374,15965,16568,17270,17456,18646,18985,96.02478058853899,9300,26.7441084184525,3.6059716974572664,Moderate
Nottingham,UKF14,8304,8674,9049,9452,9654,9864,9927,9768,9924,10122,10542,10781,10817,10728,10761,11109,11679,11911,12397,12232,47.30250481695568,3928,16.031113640675393,2.05943619470228,Slow
North Nottinghamshire,UKF15,9046,9586,9916,10574,11003,11407,11738,12345,12567,12818,13644,13980,14342,14132,14228,14685,14934,15348,16297,16339,80.62126906920186,7293,19.752272060979184,3.1606695188093115,Moderate
South Nottinghamshire,UKF16,11038,11492,11914,12308,12988,13356,13850,14316,14610,15155,16089,16529,16826,16557,16602,17502,17965,18391,19146,19484,76.5174850516398,8446,21.101373609298278,3.035961453113556,Slow
Leicester,UKF21,8348,8267,8660,9221,9568,9843,9997,10196,10110,10304,10760,10647,10953,11127,11178,11640,11863,12049,12599,12848,53.90512697652132,4500,19.405204460966544,2.295240014045019,Slow
Leicestershire CC and Rutland,UKF22,11144,11480,11783,12344,12726,13101,13697,14177,14588,14955,15652,15770,16111,16109,16436,16987,17274,17628,18499,18427,65.35355348169418,7283,17.729363659596217,2.682267164804797,Slow
West Northamptonshire,UKF24,10975,11238,11569,12485,12905,13033,13404,13832,14366,14995,16069,16113,16058,16022,17008,17851,18248,18709,19751,20062,82.79726651480638,9087,24.84908830667745,3.2257100252975013,Moderate
North Northamptonshire,UKF25,10271,10579,10859,11527,11899,12080,12584,13052,13645,14236,15152,15427,15496,15310,15649,16374,16891,17263,18319,18315,78.31759322363936,8044,20.875131995776137,3.090998734047612,Slow
Lincolnshire,UKF30,10106,10455,10714,11179,11549,11828,12317,12741,13244,13504,14220,14560,14869,14982,15374,15901,16154,16495,17008,16853,66.76231941420939,6747,18.51617440225035,2.728125746434107,Slow
