AREANM,AREACD,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,GDHI_1997,GDHI_2016,Absolute_Change,Percentage_Growth,Average_GDHI,Volatility,Income_Category_2016,Growth_Category
Leicestershire CC and Rutland,UKF22,11144,11480,11783,12344,12726,13101,13697,14177,14588,14955,15652,15770,16111,16109,16436,16987,17274,17628,18499,18427,11144,18427,7283,65.35355348169418,14944.4,2311.096559052252,Medium,Moderate
West Northamptonshire,UKF24,10975,11238,11569,12485,12905,13033,13404,13832,14366,14995,16069,16113,16058,16022,17008,17851,18248,18709,19751,20062,10975,20062,9087,82.79726651480638,15234.65,2801.5808558928406,High,Fast
North Northamptonshire,UKF25,10271,10579,10859,11527,11899,12080,12584,13052,13645,14236,15152,15427,15496,15310,15649,16374,16891,17263,18319,18315,10271,18315,8044,78.31759322363936,14246.4,2549.6416342611556,Medium,Moderate
Lincolnshire,UKF30,10106,10455,10714,11179,11549,11828,12317,12741,13244,13504,14220,14560,14869,14982,15374,15901,16154,16495,17008,16853,10106,16853,6747,66.76231941420939,13702.65,2251.4725070495533,Medium,Moderate
"Herefordshire, County of",UKG11,10259,10803,10974,11607,12205,12648,13064,13735,14070,14909,15103,15692,16091,16387,16926,17342,17900,17978,19016,19089,10259,19089,8830,86.07076713129935,14789.9,2804.3221321832184,Medium,Fast
Worcestershire,UKG12,11161,11886,12118,12619,13125,13577,13795,14484,15092,15854,15936,16297,16599,16404,16715,17275,17895,18412,19504,19769,11161,19769,8608,77.1257055819371,15425.85,2523.9377187036007,Medium,Moderate
Warwickshire,UKG13,11626,12146,12569,13487,13987,14366,14802,15233,15449,15970,16466,17037,17356,17312,17678,18394,18981,19634,20898,21290,11626,21290,9664,83.12403234130397,16234.05,2786.1782818802267,High,Fast
Telford and Wrekin,UKG21,10090,10406,10582,10513,10446,10899,11450,11943,11870,12391,12877,13071,13418,13594,14086,14665,14913,15192,16064,16291,10090,16291,6201,61.45688800792865,12738.05,1988.7007256789016,Medium,Moderate
Shropshire CC,UKG22,10773,11448,11544,12035,12273,12688,13161,13739,13988,14766,15123,15957,16384,16251,16599,16961,17298,17602,18705,18856,10773,18856,8083,75.03016801262416,14807.55,2521.196405113631,Medium,Moderate
Stoke-on-Trent,UKG23,8260,8480,9009,9421,9500,9646,9936,10220,10738,10856,11405,11572,11846,11939,12270,12704,13120,13283,13863,14075,8260,14075,5815,70.39951573849879,11107.15,1776.4976861643722,Low,Moderate
Staffordshire CC,UKG24,10276,10819,11144,11736,12345,12685,13017,13175,13564,14157,14589,15098,15339,15359,15493,16038,16535,16924,17887,18184,10276,18184,7908,76.95601401323472,14218.2,2314.85476638896,Medium,Moderate
Birmingham,UKG31,8803,9175,9453,10107,10485,10674,10819,11076,11067,11412,11644,11899,12163,12344,12439,12814,13064,13485,14034,14093,8803,14093,5290,60.09315006247869,11552.5,1535.158538015571,Low,Moderate
Solihull,UKG32,12156,12679,13094,14109,15298,15780,15991,16292,16576,16815,17231,17450,17745,17745,18143,18866,19869,20422,21695,21927,12156,21927,9771,80.38005923000988,16994.15,2755.6819248695283,High,Fast
Coventry,UKG33,8998,9193,9518,10373,10814,11136,11134,11614,11479,11650,12251,12510,12929,13069,13212,13499,13741,13924,14226,14175,8998,14175,5177,57.53500777950655,11972.25,1647.8486093915558,Low,Slow
Dudley,UKG36,9656,10058,10356,10887,11120,11249,11439,11883,11977,12307,12530,12683,13271,13504,13646,14266,14629,14951,15602,15878,9656,15878,6222,64.43661971830986,12594.6,1835.3267140671226,Medium,Moderate
Sandwell,UKG37,8180,8516,8804,9328,9566,9754,9917,10222,10306,10484,10676,10858,11238,11372,11568,11979,12145,12608,13242,13164,8180,13164,4984,60.929095354523234,10696.35,1473.2511228750623,Low,Moderate
Walsall,UKG38,8883,9342,9572,9991,10193,10487,10568,10830,10842,11021,11273,11567,11971,12030,12223,12622,13053,13532,13997,13791,8883,13791,4908,55.251604187774404,11389.4,1492.6929532330414,Low,Slow
Wolverhampton,UKG39,8936,9353,9689,10136,10451,10646,10749,11005,11067,11250,11580,11909,12259,12303,12408,12730,13034,13375,13879,13926,8936,13926,4990,55.84153983885407,11534.25,1457.0161605504804,Low,Slow
Peterborough,UKH11,9916,10344,11033,11751,12095,12320,12281,12359,12634,13308,13856,14039,14093,14205,14310,14864,15262,15844,16630,16563,9916,16563,6647,67.03307785397338,13385.35,1922.0199428014048,Medium,Moderate
Cambridgeshire CC,UKH12,11517,12031,12636,13313,13527,14129,14124,14747,15651,16274,16762,17139,17520,17433,17498,18323,19086,19807,20880,21322,11517,21322,9805,85.13501779977425,16185.95,2889.4974517525034,High,Fast
Suffolk,UKH14,10222,10433,10708,11699,12296,12671,12942,13405,13853,14202,14667,15509,16028,15980,16043,16790,17190,17480,18485,18774,10222,18774,8552,83.66268831931129,14468.85,2644.1971674832257,Medium,Fast
Norwich and East Norfolk,UKH15,10042,10333,10521,11136,11700,11930,12139,12397,12750,12802,13446,14048,14438,14687,15093,15759,16036,16217,17290,17431,10042,17431,7389,73.58095996813384,13509.75,2295.708029184713,Medium,Moderate
North and West Norfolk,UKH16,9574,9802,10077,10722,11393,11690,11948,12218,12733,12817,13443,14148,14702,15084,15511,16190,16551,16728,17515,17749,9574,17749,8175,85.38750783371631,13529.75,2624.6582910422535,Medium,Fast
Breckland and South Norfolk,UKH17,10381,10678,10806,11474,12081,12240,12485,12831,13292,13456,14118,14691,14919,15148,15511,16197,16264,16540,17460,17419,10381,17419,7038,67.7969367112995,13899.55,2256.6248312352163,Medium,Moderate
Luton,UKH21,9260,8994,9417,10047,10691,11063,11333,11554,11710,11817,12128,12330,12597,12722,12879,13364,13592,13987,14448,14889,9260,14889,5629,60.788336933045365,11941.1,1697.8464036909568,Low,Moderate
Hertfordshire,UKH23,13267,13969,14135,15352,16156,16472,16776,17142,17644,18457,19345,19772,20365,20094,20163,21187,22184,22826,24244,24311,13267,24311,11044,83.24413959448255,18693.05,3314.037567283814,High,Fast
Bedford,UKH24,11406,11560,11972,12578,12664,13240,13417,13812,14418,14935,15431,16024,16547,16757,17010,17501,17898,18279,19767,20136,11406,20136,8730,76.53866386112573,15267.6,2679.655445250967,High,Moderate
Central Bedfordshire,UKH25,12129,12358,12848,13634,13891,14519,14666,14989,15558,15984,16389,16933,17379,17697,17732,18459,19209,19377,20294,20719,12129,20719,8590,70.82199686701294,16238.2,2611.1561383700073,High,Moderate
Southend-on-Sea,UKH31,10676,11073,11615,12354,13115,13641,13962,13978,14253,14621,15057,15363,15910,15992,16113,16648,17196,17596,18607,19088,10676,19088,8412,78.79355563881603,14842.9,2378.5621685114065,Medium,Moderate
Thurrock,UKH32,10133,10372,10563,10810,11311,12013,12443,12712,13036,13397,13936,14482,14882,14990,15054,15558,15886,16458,17206,17507,10133,17507,7374,72.77213066219284,13637.45,2314.0332635329255,Medium,Moderate
Essex Haven Gateway,UKH34,10134,10458,11094,11695,12292,12794,13001,13490,13942,14280,14757,15366,15981,15765,16105,16743,17262,17444,18242,18587,10134,18587,8453,83.41227550819025,14471.6,2569.9026481663914,Medium,Fast
West Essex,UKH35,13429,13761,14325,15161,15706,16070,16282,16920,17674,18054,18610,19371,19547,19153,19557,20448,20838,21110,23403,23776,13429,23776,10347,77.04966862759699,18159.75,2971.8415321320995,High,Moderate
Heart of Essex,UKH36,13661,13919,14605,15358,15964,16326,16568,16919,17387,17868,18395,19092,19594,19279,19508,20275,20707,21288,22079,22211,13661,22211,8550,62.58692628650904,18050.15,2615.5580118127555,High,Moderate
Essex Thames Gateway,UKH37,11434,11711,12288,12858,13547,13991,14270,14664,15089,15441,15933,16567,17150,16965,17177,17818,18026,18161,19215,19667,11434,19667,8233,72.00454783977611,15598.6,2465.273560138061,Medium,Moderate
Camden and City of London,UKI31,18600,20654,21711,24138,24060,24107,24621,26687,29583,32472,35709,38910,38249,36235,34980,37966,41751,42116,45133,45225,18600,45225,26625,143.14516129032256,32145.35,8575.928412376734,Very High,Very Fast
Westminster,UKI32,21079,22028,23911,26140,26516,26218,26702,28500,30790,33768,37568,40193,41057,39555,38707,42194,46400,48620,51511,50910,21079,50910,29831,141.51999620475354,35118.35,9841.911379802947,Very High,Very Fast
Kensington & Chelsea and Hammersmith & Fulham,UKI33,27630,28204,29111,31520,31184,30662,31327,33340,35762,39309,43444,46177,45838,43939,42838,47046,52377,55611,59612,58816,27630,58816,31186,112.87006876583423,40687.35,10435.288386679013,Very High,Very Fast
Wandsworth,UKI34,14012,15615,17256,19516,20131,20093,20439,21921,24287,26440,29240,30340,30516,29032,27745,29872,32557,34341,36264,37288,14012,37288,23276,166.11475877819012,25845.25,6927.834816881823,Very High,Very Fast
Hackney and Newham,UKI41,6448,7061,7805,8884,9492,9814,10384,11194,12329,13389,14288,14700,14892,14911,15038,15973,16920,17413,18704,19261,6448,19261,12813,198.71277915632754,12945.0,3883.7185653361703,Medium,Very Fast
Tower Hamlets,UKI42,13122,13624,14171,15289,15731,15809,16255,16936,17838,18799,19742,19970,20160,20138,19996,20977,21469,21719,23123,23227,13122,23227,10105,77.00807803688463,18404.75,3119.542913127195,High,Moderate
Haringey and Islington,UKI43,15262,15763,16783,17997,18388,18727,19017,19889,20879,22179,23525,23841,23687,24000,24086,25669,26091,26916,28424,28188,15262,28188,12926,84.69401126982046,21965.55,4083.064051665122,Very High,Fast
Lewisham and Southwark,UKI44,10070,10578,11280,12285,12667,12965,13578,14294,15233,16205,17191,17533,17661,18370,18292,19471,20253,21225,22648,22724,10070,22724,12654,125.66037735849056,16226.15,3930.9091659630894,High,Very Fast
Lambeth,UKI45,11141,11639,12486,13653,13932,14217,14625,15342,16273,17308,18479,18882,18960,19333,19469,20732,21608,22510,24935,24965,11141,24965,13824,124.0822188313437,17524.45,4157.133368016196,High,Very Fast
Bexley and Greenwich,UKI51,12818,13129,13517,14237,14984,15213,15622,16005,16368,16761,17583,18023,18070,18157,18098,19009,19527,19967,21066,21318,12818,21318,8500,66.3129973474801,16973.6,2537.158717521381,High,Moderate
Barking & Dagenham and Havering,UKI52,10307,10797,11114,11915,12685,13038,13578,14056,14464,14842,15703,16232,16116,16203,16283,17339,17739,17917,19020,19707,10307,19707,9400,91.20015523430678,14952.75,2741.936923436654,Medium,Fast
Redbridge and Waltham Forest,UKI53,11109,11448,11863,12703,13575,13951,14405,14905,15422,15769,16524,16915,16741,16863,16875,18172,18680,19240,20728,21248,11109,21248,10139,91.26834098478712,15856.8,2919.0058437402067,High,Fast
Enfield,UKI54,10966,11453,11737,12700,13470,13663,14144,14732,15294,15774,16798,17335,17246,17229,17216,18488,18893,19560,21057,21444,10966,21444,10478,95.54988145175999,15959.95,3094.274976298546,High,Fast
Bromley,UKI61,13916,14736,15337,16503,17056,17424,18297,19277,20074,20698,21683,21949,21640,21896,22275,23748,24387,25302,26893,27169,13916,27169,13253,95.23569991376833,20513.0,3913.9164528640617,Very High,Fast
Croydon,UKI62,10324,10776,11464,12476,13125,13576,14288,15017,15749,16274,17162,17546,17335,17483,17682,18852,19421,19686,21138,21766,10324,21766,11442,110.82913599380085,16057.0,3357.8916787644876,High,Very Fast
"Merton, Kingston upon Thames and Sutton",UKI63,14261,14806,15395,16537,16945,17282,17996,18905,19672,20173,21206,21575,21176,21479,21716,23119,24018,24407,25927,26355,14261,26355,12094,84.804712152023,20147.5,3598.3164996396504,Very High,Fast
Barnet,UKI71,12774,13480,14084,15357,15862,16408,17155,17745,18798,19582,20655,21281,20889,21017,21160,22869,23785,24925,27591,27455,12774,27455,14681,114.92876154689213,19643.6,4345.712713637854,Very High,Very Fast
Brent,UKI72,10845,11383,12122,13001,13599,14157,14801,15305,16274,16631,17500,18025,18113,18051,18199,19686,20837,21699,23362,23580,10845,23580,12735,117.42738589211619,16858.5,3767.683030862951,High,Very Fast
Ealing,UKI73,12921,13503,14034,14913,15542,15990,16640,17061,17700,18163,19057,19632,19576,19799,19941,21546,22785,24055,25936,26655,12921,26655,13734,106.29208265614116,18772.45,3944.1159836020624,Very High,Very Fast
Harrow and Hillingdon,UKI74,11488,12209,12886,13844,14589,15114,15799,16281,17016,17399,18364,18924,18616,18805,18838,20163,21175,21592,23224,23661,11488,23661,12173,105.96274373259054,17499.35,3503.0936444204494,High,Very Fast
Hounslow and Richmond upon Thames,UKI75,17505,18134,18718,19986,20473,20790,21457,21881,22576,23279,24271,24835,24638,24533,24710,26256,27382,28161,30389,31505,17505,31505,14000,79.97714938588975,23573.95,3880.9684829678117,Very High,Moderate
Berkshire,UKJ11,13778,14254,14515,15615,15788,16227,16480,16788,17352,18071,19206,19559,19670,19445,19800,20718,21499,21819,23091,23674,13778,23674,9896,71.82464798954855,18367.45,2934.0228082742788,High,Moderate
Milton Keynes,UKJ12,11187,11540,11780,12480,12890,13642,13875,14563,14996,15473,16183,16636,16678,16964,16968,17478,17724,18140,19392,20039,11187,20039,8852,79.12755877357647,15431.4,2617.826406532114,High,Moderate
Buckinghamshire CC,UKJ13,15163,15664,16129,17182,17907,18268,18378,19068,19606,21066,21844,22399,22854,22566,22750,23531,24270,24893,26655,26570,15163,26570,11407,75.22917628437644,20838.15,3530.236599719628,Very High,Moderate
Oxfordshire,UKJ14,13290,13703,14040,15144,15432,15888,15989,16587,16928,18067,18558,18995,19378,19051,19337,20361,21006,21609,23282,23675,13290,23675,10385,78.14145974416856,18016.0,3048.4153432993935,High,Moderate
Brighton and Hove,UKJ21,12033,12262,12675,13549,14151,14590,14763,15318,16085,16327,16813,17398,17847,17618,17788,18330,18905,19257,20618,20508,12033,20508,8475,70.43131388681127,16341.75,2614.9253561853448,High,Moderate
East Sussex CC,UKJ22,11848,12161,12571,13311,13862,14204,14432,14719,15320,15938,17026,17527,17789,18226,18153,18767,19614,19721,20790,20741,11848,20741,8893,75.05908170155301,16336.0,2876.676389973606,High,Moderate
West Surrey,UKJ25,16313,17198,17722,18545,18853,19418,19436,20067,21134,22502,23159,23453,23634,23520,23879,25178,26321,26846,28549,28467,16313,28467,12154,74.5049960154478,22209.7,3710.4000082272305,Very High,Moderate
East Surrey,UKJ26,15848,16808,17253,18124,18396,19016,19103,19667,20868,22325,23047,23272,23117,23024,23330,24697,25559,25924,27551,27263,15848,27263,11415,72.02801615345786,21709.6,3542.378941957093,Very High,Moderate
West Sussex (South West),UKJ27,11506,12118,12278,13232,13948,14271,14503,14975,15723,16360,16917,17224,17487,17677,18063,18890,19651,19849,21340,21382,11506,21382,9876,85.83347818529464,16369.7,2994.225778148053,High,Fast
West Sussex (North East),UKJ28,14840,15191,15313,16309,16847,17178,17352,17866,18468,19014,19519,19754,19858,19833,20170,20975,21714,21912,22962,22853,14840,22853,8013,53.995956873315365,18896.4,2498.4320641048794,High,Slow
Portsmouth,UKJ31,9368,9529,9982,10861,10878,11341,11412,11398,11345,11557,12139,12540,13153,13004,13133,13286,13861,14074,15028,15066,9368,15066,5698,60.82408198121264,12147.75,1668.7950861246218,Medium,Moderate
Southampton,UKJ32,9627,9655,9699,10356,10735,11176,11276,11589,11666,12177,12842,13095,13460,13358,13515,13873,14230,14443,15022,14797,9627,14797,5170,53.70312662303937,12329.55,1771.9237085572754,Low,Slow
Isle of Wight,UKJ34,9865,10196,10381,10925,11727,12021,12123,12652,13207,13860,14401,14818,15524,15683,15932,16164,16516,16414,16975,16781,9865,16781,6916,70.10643689812468,13808.25,2423.5735441046986,Medium,Moderate
South Hampshire,UKJ35,10779,11127,11515,12200,12848,13434,13609,14159,14576,15036,15761,16281,16870,16812,17087,18050,18737,18946,19768,20107,10779,20107,9328,86.53863994804712,15385.1,2908.7219276911947,High,Fast
Central Hampshire,UKJ36,13476,13923,14317,15430,15982,16417,16580,17311,17920,18647,19494,20131,20518,20414,20758,21815,22176,22539,24056,24245,13476,24245,10769,79.91243692490353,18807.45,3312.902138052947,High,Moderate
North Hampshire,UKJ37,13905,14232,14458,15403,15857,16283,16372,16969,17232,17696,18556,19026,19452,19343,19533,20581,21274,21563,23012,23155,13905,23155,9250,66.52283351312478,18195.1,2817.4782846031885,High,Moderate
Medway,UKJ41,10830,10784,11124,11798,12311,12680,12788,13363,13711,14109,14739,15097,15616,15544,15753,16188,16407,16662,17661,17884,10830,17884,7054,65.13388734995384,14252.45,2233.4290010276973,Medium,Moderate
Kent Thames Gateway,UKJ43,10683,10928,11332,12038,12525,13049,13237,13680,14041,14473,15109,15493,15882,15890,16134,16721,17175,17495,18425,18539,10683,18539,7856,73.53739586258541,14642.45,2429.555438541662,Medium,Moderate
East Kent,UKJ44,9064,9375,9833,10587,11172,11659,11870,12364,12877,13343,13989,14439,15116,15204,15493,16143,16680,16965,17798,17682,9064,17682,8618,95.07943512797881,13582.65,2784.6625284526713,Medium,Fast
Mid Kent,UKJ45,12667,12918,13265,14236,14751,15001,15133,15718,16131,16620,17216,17579,17882,17869,17975,18764,19382,19637,20429,20159,12667,20159,7492,59.14581195231704,16666.6,2408.641425324549,High,Slow
West Kent,UKJ46,15855,16020,16240,17508,17939,18259,18352,19170,19689,20393,21065,21430,21612,21519,21792,22706,23546,24196,25868,25174,15855,25174,9319,58.776411226742354,20416.65,2998.551251503755,Very High,Slow
"Bristol, City of",UKK11,10387,10661,11022,11738,12265,12434,12620,12988,13130,13734,14322,14744,14739,15046,15390,15724,16223,16702,17488,17633,10387,17633,7246,69.760277269664,13949.5,2202.4471198622396,Medium,Moderate
